degrees,description,merchant,price,title
NaN,"Bei MediaMarkt in Düsseldorf Bilk bekommt Ihr die  Canon Eos M5 mit 18-150 IS STM Objektiv und EU26 Adapter für alle EF Objektive für 777€  Wer den Adapter nicht brauchen sollte, k",Media Markt,777€,[lokal] MediaMarkt Düsseldorf Bilk CANON EOS M 5 + 18-150 IS STM + EU 26 Adapter
584°,"Im Mediamarkt in den Höfen am Brühl (Leipzig) gibt es verschiedene Zierblenden für den New Nintendo 3DS für je 1€.   Es gibt noch 3 versch. Varianten (s. Bild), wobei wahrscheinlic",NaN,1€,(Lokal Leipzig) New Nintendo 3DS Zierblenden
NaN,"Heute erhaltet ihr beim Mediamarkt folgendes Angebot...  ► SANDISK Ultra II, 480 GB SSD, 2.5 Zoll, intern, Schwarz für 77,-€◄  Idealopreis:  99,99€   Die VSK sollten …					Weiterle",Media Markt,77€,"SANDISK Ultra II, 480 GB SSD, 2.5 Zoll, intern, Schwarz für 77,-€ [Mediamarkt]"
NaN,"Moin,  in der aktuellen Schaufenster lag das Prospekt für den örtlichen MediaMarkt vor.   Darin sind einige gute Angebote für Spiele. Als VGP habe ich auf die Schnelle Idealo (für ",NaN,10€,(Lokal Bonn/Bornheim) Unter anderem Crash Bandicoot PS4/Xbox für 20€ etc
NaN,"MediaMarkt hat den BOSCH Rotak 43 LI Akku Rasenmäher aktuell für geschmeidige 369 Euro im Angebot (versandkostenfrei). Ist  wie bei comtech  (VGP: 343,99 Euro) das Modell mit nur e",Media Markt,369€,Bosch Rotak 43 LI Akku Rasenmäher
NaN,"Der Idealo PVG liegt bei 638,95€  https://www.idealo.de/preisvergleich/OffersOfProduct/5763700_-pixel-2-64gb-clearly-white-google.html    Test:  https://www.notebookcheck.com/Test-",eBay,549€,Google Pixel 2 64GB Clearly White [ebay/mediamarkt]
NaN,"Der Mediamarkt in Buxtehude hat wieder ein neues Angebot am Start. Dieses mal erhaltet ihr folgendes....  ►EA Sports UFC 3 -[Playstation 4 /PS4] für 19,-€  Idealopreis: 44,8…					W",Media Markt,19€,"[Regional Mediamarkt Buxtehude] EA Sports UFC 3 -[Playstation 4 /PS4] für 19,-€"
NaN,"Hallo Leute,Sammeldeal für die Neueröffnung des Schultheissquartiers in Moabit. ""Das neue  Schultheiss Quartier  vereint die Historie des Standortes und die Moderne [...] der ehema",NaN,NaN,"[Lokal Berlin] Sammeldeal Schultheiss Quartier (Moabit) Rabatte + Gewinnspiele + Freebies - z.B. Woolworth Clogs für 6€, Ernstings Family, MM, Apollo uvm."
NaN,"Liebe Leute,  hier mein erster Deal. Da ich viel von der Seite profitiere, wollte ich der Community mal etwas zurückgeben :)   Anbei ein neues Produkt von Sony, ein Einstiegsgerät ",Saturn,599€,SONY KD-49XF7005 Angebotspreis im Saturn => 2018er MODELL
NaN,Dazu gibt es eine Lieferung mit Aufbau für 19 Euro.  Idealo:  idealo minimum 870 -    Update : Nun ist der Idealo Preis bei minimum 899€  Daten TV:   hier nachlesbar    Der Tv ist ,NaN,799€,Mediamarkt LG 65 UK 6100 4k Ultra HD LED-TV Active HDR Lokal z.B. Markt Peine/Stadthagen/Holzminden für 799 statt Idealo minimum 870
NaN,"Die oben genannten Mediamärkte haben folgende Games für euch im Angebot....  ►Call of Duty: Black Ops 3 Zombies Chronicles Edition (PS4) für 19,-€◄ Idealopreis: 31,95…					Weiterle",Media Markt,NaN,"[Regional Mediamarkt Aalen,Ellwangen,Nördlingen,Heidenheim,Schwäbisch Gmünd ] Cod Black Ops 3 Zombies Edt./ Nino Kuni II / Crash Bandicot N´Sane (PS4) für je 19,-€ // Pokemon Ultrasonne und Ultramond für je 15,-€"
NaN,Aktuell bekommt ihr den Tefal Optigrill+ XL (GC722D) recht günstig im MediaMarkt  Gründau-Lieblos . Laut idealo liegt der Preisvergleich aktuell bei 145 Talern.  Habe ihn selbst un,NaN,122€,[Lokal Gründau-Lieblos] Tefal Optigrill+ XL (GC722D)
NaN,"Moin zusammen,  wer im  Mediamarkt Deal  nicht zuschlagen konnte, für den bietet Western Digital im Store die Festplatte Recertfied für 36,99 Euro mit Versand an.  Ich hab zugeschl",Western Digital Store,"36,99€",[WD-Store] Festplatte WD Elements 1 TB Externe USB 3.0 HDD Recertified - VSK-Frei
NaN,"Liebe Leute,  es gibt in Berlin Marzahn ein Hammerangebot von dem ASUS VivoBook. Vor ein paar Wochen gab es zu diesem Exemplar schon mal einen Deal, der für den Potsdamer Mediamark",Media Markt,649€,ASUS VivoBook R542UQ-GQ410T i7-855OU/ 8GB/1TB HDD
NaN,"In diesem Monat setzt Miles & More im Bereich Online Shopping den Fokus beim Meilen sammeln auf ein paar Telko Partner, bei denen man je nach Vertrag zwischen 12.000 und 15.000…			",Miles & More,NaN,"[Miles & More] Bis zu 15.000 Meilen (Unitymedia, PYUR, NetCologne) & bis 10-fache Meilen (IKEA, connox, MediaMarkt, OTTO uvm.)"
NaN,Moin Bei Amazon € eBay mediamarkt bekommt ihr derzeit die Razer Kraken Pro v2 (Ovale Ohrmuscheln) in grün für 49€ inkl. Versandkosten.   Hier der Link zu Mediamarkt   Preisvergleic,Amazon,49€,Razer Kraken Pro v2 in grün (Amazon & eBay Mediamarkt)
NaN,Bei MediaMarkt gibt es das HTC Desire 12 mit 32 GB in Schwarz bei Zahlung mit Masterpass. Vergleichspreis laut idealo sind 124€ über ebay.  Technische Merkmale Betriebssystem: Andr,Media Markt,109€,[MediaMarkt/Masterpass] HTC Desire 12 32 GB Schwarz Dual SIM
NaN,"Ein Angebot, welches noch nicht gepostet wurde und in allen Mediamärkten in Bonn und Köln gültig ist, ist folgendes...  ►Xbox One S mit 1TB inc. Forza 7, Rocket Leauge, 3 Mo…					W",NaN,199€,"[Regional Mediamarkt Bonn und Köln] Xbox One S mit 1TB inc. Forza 7, Rocket Leauge, 3 Monate Xbox Pass und 3 Monate Xbox Live für 199,-€"
NaN,"Im Ebay-Store von Mediamarkt gibt es gerade ein gutes Angebot der HAMA Wifi Steckdose.   Max. Belastbarkeit: bis 3500 W/16 A Standby Verbrauch ≤: 0,3 W Frequenz: 2,4 GHz Kin…					W",eBay,19€,[Mediamarkt Ebay] HAMA WiFi Steckdose
NaN,"Edit: Nur noch auf Amazon zum Preis von 59,- erhätlich.   Aktuell gibt es auf  Amazon.de ,   MediaMarkt.de  und auf eBay  die Logitech MX Master 2S in der Farbe Midnight Teal für €",Amazon,59€,"(Amazon & MediaMarkt) Logitech MX Master 2S (Midnight Teal) für € 59,- (Bluetooth, für Mac und Windows)"
NaN,"Bei Mediamarkt gibt es aktuell die WD elements (Neuware) mit 1 TB für 39 € VSK frei. :)    Laut Produktbildern mit ""Soft-bag"" und 3 Jahren Garantie!",Media Markt,39€,WD Elements 1 TB Externe USB 3.0 HDD (Festplatte) [MEDIAMARKT] [VSK-frei]
NaN,"Heute erhaltet ihr beim Mediamarkt das folgende Angebot....  ►LOGITECH Harmony 665 Universalfernbedienung für 39,-€  Idealopreis: 63,83€   HerstellerLogitech  ProdukttypUniv…					W",Media Markt,39€,"[Mediamarkt] LOGITECH Harmony 665 Universalfernbedienung für 39,-€"
NaN,"Heute erhaltet ihr beim Mediamarkt das folgende Angebot....  ►LOGITECH Harmony Companion Universalfernbedienung für 69,-€  Idealopreis: 80,61€   HerstellerLogitech  Produktt…					W",Media Markt,69€,"[Mediamarkt] LOGITECH Harmony Companion Universalfernbedienung für 69,-€"
NaN,"Ein weiteres Mediamarktangebot wäre das folgende....  ►PALIT GeForce® GTX 1070 JetStream 8GB (NE51070015P2J)( NVIDIA, Gra­fik­kar­te) für 379,-€◄  Idealopreis: 445,45…					Weiterle",Media Markt,379€,"[Mediamarkt] PALIT GeForce® GTX 1070 JetStream 8GB (NE51070015P2J)( NVIDIA, Grafikkarte) für 379,-€"
NaN,"In den Mediamärkten Hamburgs bekommt ihr ab heute folgendes Angebot...  ►PHILIPS 65PUS8102/12, 164 cm (65 Zoll), UHD 4K, SMART TV, LED TV, 3200 PPI, Ambilight 3-seitig, DVB-…					W",NaN,999€,"[Regional Mediamarkt Hamburg/Alle Märkte] PHILIPS 65PUS8102/12, 164 cm (65 Zoll), UHD 4K, SMART TV, LED TV, 3200 PPI, Ambilight 3-seitig, DVB-T2 HD, DVB-C, DVB-C2, DVB-S, DVB-S2 für 999,-€"
NaN,"Jetzt kann man sein Zeek Konto mit Prepaid-Guthaben aufladen und bekommt 5% Extra-Guthaben. Es gibt aktuell drei Varianten:  Für 50 Euro gibt es 52,50 Euro Guthaben Für 100 Euro gi",Zeek,50€,[Zeek] Dauerhaft 5% extra Bonus auf Prepaid-Guthaben
NaN,"Idealo: 121,98€  Test der Collection auf 4K Filme  https://www.4kfilme.de/christopher-nolan-4k-blu-ray-collection-test/   NOLAN COLLECTION 4K - EXKLUSIV + DIGITAL ULTRAVIOLET - (4K",Media Markt,"99,99€",Lokal Mediamarkt Berlin Wilmersdorfer Str - Christopher Nolan Collection (4K Ultra HD)
NaN,"Bei eBay, habe gerade gesehen. Verkäufer ist Mediamarkt-duesseldorf-metrostrasse. Laut der Beschreibung:   Originalverpackt und unbenutzt. Verpackung leicht beschädigt.   Preisverg",eBay,399€,[B-Ware]HUAWEI Mate 10 Pro 128 GB Titanium Grey
NaN,"Sei gegrüßt werte Mydealz-Community,  bei Mediamarkt gibt es aktuell den TELEFUNKEN D43U472R4CW für sage und schreibe 279€, falls ihr über Masterpass bezahlt. Für die unter Euch, d",Media Markt,279€,"TELEFUNKEN  LED TV (Flat, 43 Zoll, UHD 4K, SMART TV)"
NaN,"UPDATE:  Aufgrund mehrerer Nachfragen, nochmals erklärt: Hier bekommt man die DJI Spark mit Fernbedienung und zusätzlich noch die Revell-Drohne als 2. Drohne dazu. Entweder die 2. ",Media Markt,499€,DJI Spark Sunrise Yellow + Fernbedienung + REVELL PULSE FPV
NaN,"Zu dem netten Silit Kochtopf Set zu  gestern , heute eins mit Edelstahlpfanne und mehr Ersparnis. Laut  Idealo  gerade nicht unter 163€ zu haben, gabs aber auch mal für 109€ rum. L",mömax,"80,95€","[Mömax] Silit Diamant Topfset 5tlg. mit Newsl. 70,95€ möglich / Smoothie Mixer 12,99€"
NaN,"Heute erhaltet ihr beim Mediamarkt das folgende Angebot....  ►Logitech Funk-Trackball Optisch MX Ergo Ergonomisch, Integrierter Trackball, Wiederaufladbar Schwarz für 59,-€ …					W",Media Markt,59€,"[Mediamarkt] Logitech Funk-Trackball Optisch MX Ergo Ergonomisch, Integrierter Trackball, Wiederaufladbar Schwarz für 59,-€"
NaN,"Preis ist jetzt angepasst!  Heute erhaltet ihr beim Mediamarkt das folgende Angebot....  ►SANDISK Ultra II, 960 GB SSD, 2.5 Zoll, intern, Schwarz für 139,-€  Idealopreis:  1…					W",Media Markt,139€,"SANDISK Ultra II, 960 GB SSD, 2.5 Zoll, intern, Schwarz für 139,-€ [Mediamarkt-Masterpass]"
NaN,"Heute erhaltet ihr beim Mediamarkt das folgende Angebot....  ► Logitech® Harmony Elite Remote Control Fernbedienung inkl. Hub für 149,-€  Idealopreis: 192,80€  Auch hier müs…					W",Media Markt,149€,"[Mediamarkt-Masterpass] Logitech® Harmony Elite Remote Control Fernbedienung inkl. Hub für 149,-€"
NaN,Moinsen!   Bei Media Markt gibt es aktuell wieder das LG V30 in beiden Farben für 399€. Diesmal gibt es den Fussball wieder gratis dazu.     LG V30 Moroccan Blue   LG V30 Cloud Sil,Media Markt,399€,LG V30 64 GB Moroccan Blue oder Cloud Silver - inkl. Telstar18 Top Glider Ball
NaN,"Hallo zusammen, ich habe mir eben den Optigrill von Tefal gekauft. Der kostet eigentlich 99 Euro bei MediaMarkt, aber durch die Masterpass Aktion (Mindestbestellwert 100€), kam ich",Media Markt,"82,98€",[MASTERPASS] TEFAL GC702D Optigrill + Hamburgerpresse Kontaktgrill
NaN,"Ich habe leider keinen Testbericht zu der Cam gefunden und auch nur ein Review auf der HP von Mediamarkt, dort wird die Cam mit 4 Sternen bewertet... aber bei dem Preis oder sponta",grooves.land,"28,50€",[grooves.land] Easypix GoXtreme Barracuda 4K Actioncam
NaN,"Dies ist mein erster Deal. Heute bei MediaMarkt Recklinghausen entdeckt. So geschätzt 6 sind wenigstens noch da gewesen, um 20:00Uhr.   Vergleich bei Idealo:  https://www.idealo.de",NaN,5€,[Lokal] [Mediamarkt] [Recklinghausen] Lederarmband Vivosmart
NaN,"Moin.  bei Mediamarkt erhaltet ihr den Samsung BD-J6300 3D Blu-ray Player für 79€   Preisvergleich: ~97€  3D Blu-Ray Player Curved WLAN,sw BD-J6300/ZG - Samsung BD-J6300/ZG  
Blu-r",Media Markt,79€,Samsung BD-J6300 3D Blu-ray Player für 79€ [Mediamarkt]
NaN,Bei MediaMarkt in Leipzig Höfe am Brühl gibt es ab  Montag 10 Uhr  einen großen 'Technik-Ausverkauf'. Unter anderen finden sich folgende Angebote:    1.  XBox One S (500 GB) plus F,NaN,169€,[LOKAL MediaMarkt Leipzig Höfe am Brühl] XBox One S 500GB inkl.Forza Horizon 3 für 169€ uvm.
NaN,"Moinsen, Derzeit verkauft der Händler ""Mediamarkt"" das Spiel The Elder Scrolls Online Morrowind (PS4) auf eBay für 10€ inkl. Versandkosten. Bezahlen könnt ihr z.B mit PayPal.  Prei",eBay,10€,The Elder Scrolls Online Morrowind (PS4)
NaN,Ich habe eben die Tastatur im MediaMarkt Delmenhorst gesehen.  Ausgewiesen ist sie mit 88€ aber an der Kasse gab es nochmal 10% Cashback.  Die 10% Cashback gibt es wohl auf alles w,Media Markt,"79,20€",Razer Ornata Chroma [MediaMarkt Delmenhorst]
NaN,Update   Mediamarkt hat die Preise leider wieder etwas angezogen.  ;(  Allerdings ist die Ersparnis im Bundle immer noch gut .     Im Set gespart: Logitech G903 + G-Powerplay Lades,Media Markt,"166,98€",Logitech G903 Wireless Gaming Maus + G70 Powerplay Wireless Charging Gaming Mouse Pad im Bundle
NaN,"Amazon ist mit dem Deal von  Mediamarkt  gleichgezogen.   Entfliehen Sie in Ihre Traumwelt  Mit individuellen virtuellen Oberflächen, die aus Reisen, Sport, Kultur, Live-Konzerten,",Amazon,249€,Acer Window Mixed Reality Headset [Amazon]
NaN,"Heute erhaltet ihr beim Mediamarkt das folgende Angebot....  ►ULTIMATE EARS BLAST Smart Speaker mit Sprachsteuerung, Wasserfest verschiedene Farben für 91,-€  Idealopreis:ab…					W",Media Markt,91€,"[Mediamarkt-Masterpass] ULTIMATE EARS BLAST Smart Speaker mit Sprachsteuerung, Wasserfest verschiedene Farben für 91,-€"
NaN,"(Leider keinen Link gefunden, dafür eben da gekauft ;)  )  Der MediaMarkt Bad Kreuznach feiert irgendwas, bei Kauf eines Artikels > 399,-- gibt es den zweiten (günstigeren) Arti…		",Media Markt,NaN,"[Lokal] MediaMarkt Bad Kreuznach: 2. Artikel 50% (ab 399,--)"
NaN,Bei Mediamarkt in Oldenburg gibt es heute und morgen direkt Abzug auf Kaffeevollautomaten (ab 750€ werden 125€ an der Kasse abgezogen) somit kommt der Preis von 874€ zustande und i,NaN,874€,[Lokal Mediamarkt in Oldenburg] Siemens Kaffeevollautomat EQ 9 s300
NaN,"Wie Tag.24 berichtet, erhaltet ihr im Mediamarkt Leipzig-Günthersdorf, folgendes Angebot...  ► Nintendo Labo Toy-Con 01 Multi-Set für die Switch für 29,-€◄  Idealopre…					Weiterle",NaN,29€,"[Regional Mediamarkt Leipzig-Günthersdorf] Nintendo Labo Toy-Con 01 Multi-Set für die Switch für 29,-€"
NaN,Mediamarkt Potsdam bietet die Fitbit Ionic derzeit bis zum 13.08. für 215€ an.  Starten Sie Ihre dynamische und persönliche Trainingsunterstützung mit einer Schritt-für-Schritt Anw,NaN,215€,[Lokal Mediamarkt Potsdam] Fitbit Ionic
NaN,"Beim Mediamarkt Hannover-Wülfel an der Hildesheimer Straße gibt es zur Zeit die PS4 Slim in Schwarz für 199€. 500GB, Neuware, noch ziemlich viele verfügbar. Zeitliche Angabe nur ""s",NaN,199€,(Mediamarkt Hannover-Wülfel) Playstation 4 Slim 500GB Schwarz
NaN,"Moin.  bei Mediamarkt erhaltet ihr das HONOR 7X 64 GB Schwarz  Dual SIM Smartphone für 169€  Preisvergleich: ~207,87€      
							FullView FHD+ Display (15,06 cm, 5,93 Zoll), 2160",Media Markt,169€,HONOR 7X 64 GB Schwarz Dual SIM für 169€ [Mediamarkt]
NaN,"Heute erhaltet ihr beim Mediamarkt das folgende Angebot....  ►MOTOROLA Moto G5, Smart­pho­ne, 16 GB, 5 Zoll, Lunar Grey, Dual SIM inc. Fußball für 89,-€  Idealopreis: 121,99…					W",Media Markt,89€,"[Mediamarkt-Masterpass] MOTOROLA Moto G5, Smartphone, 16 GB, 5 Zoll, Lunar Grey, Dual SIM inc. Fußball für 89,-€"
NaN,"Gestern gab es ja das Honor 7X für 169 Euro bei Media Markt. Ich habe gerade gesehen, dass Amazon das Honor 7X für Prime Mitglieder ebenfalls für 169 Euro anbietet.  Ich habe bei M",Amazon,169€,Amazon (nur Prime-Mitglieder) HONOR 7X 64 GB Schwarz Dual SIM für 169€
NaN,"Moin.  bei Mediamarkt erhaltet ihr das HONOR 6X 32 GB Gold Dual SIM Smartphone +  JBL Kopfhörer Inspire 500 für 129€  Preisvergleich: ~161,49€      
							13,97 cm (5,5 Zoll) Full",Media Markt,129€,HONOR 6X 32 GB Gold Dual SIM + JBL Kopfhörer Inspire 500 für 129€ [Mediamarkt]
NaN,"Ab morgen wird es wieder warm. Also Zeit für ne Runde Grillen. Hier ein günstiger Grill dafür...  ►Dangrill Kettle BBQ Basic Rundgrill (47cm) für 16,-€◄  Idealopreis:…					Weiterle",Media Markt,16€,"[Mediamarkt] Dangrill Kettle BBQ Basic Rundgrill (47cm) für 16,-€"
NaN,Media Markt   3 Schallplatten für 35 Euro. Der Preis wird im Warenkorb automatisch auf 35 Euro gestellt.    Danke an Holleridudoedldi für den Tipp mit dem Masterpass.,Media Markt,35€,[MediaMarkt] 3 Schallplatten für 35 Euro + Masterpass mehr Ersparnis
NaN,"Hallo diese externe SSD bekommt ihr aktuell versandkostenfrei bei Mediamarkt. Über die Masterpassaktion sollte mittlerweile jede/r bescheid wissen....sprich, dann 99 €.  Amazon ist",Amazon,119€,"SANDISK Extreme® Portable, 500 GB SSD, extern, Grau bei Amazon"
NaN,"Heute erhaltet ihr beim Mediamarkt folgendes Angebot...  ► Bose SoundLink Mini II, Bluetooth Lautsprecher in 2 Farben für je 129,-€  Idealopreis: ab 169,95€  Der Preis wird …					W",Media Markt,129€,"[Mediamarkt] Bose SoundLink Mini II, Bluetooth Lautsprecher in 2 Farben für je 129,-€"
NaN,MS Office 365 Personal Abonnement - 1 Jahr / 1 Lizenz (Product Key Card ohne Datenträger) beim Mediamarkt:  https://www.mediamarkt.de/de/product/_ms-office-365-personal-abonnement-,Media Markt,33€,MS Office 365 Personal Abonnement - 1 Jahr / 1 Lizenz für 33€
NaN,"Hallo zusammen,  jetzt find ich mal die Zeit Euch ggf noch einen netten Deal aufzeigen zu können. Wusste leider nicht wie ich das am besten übers Handy einstellen soll, da es weder",Media Markt,-10%,(Lokal Bochum-Hofstede) MediaMarkt - 10% Rabatt auf Gaming-Zubehör wie PC-Headsets
NaN,"Beim MediaMarkt Onlineshop gibt es aktuell den Netgear R7000P-100PES AC2300 Nighthawk Gaming WLAN-Router für 129,99€ nach 27€ Direktabzug im Warenkorb. Bei Amazon erhält das Produk",Media Markt,"129,99€","Netgear R7000P-100PES AC2300 Nighthawk WLAN-Router für 129,99 bei Media Markt Online (109,99 Masterpass)"
NaN,"[ update 25.08.2018 20.20 Uhr ] An diesem Wochenende nochmal 10 € günstiger zu haben. Hallo und guten Abend, dieses Telefon gibt es aktuell versandkostenfrei in  blau  oder  schwar",Media Markt,175€,MOTOROLA moto x4 32 GB Super Black Dual SIM in blau oder schwarz inkl. Adidas Fußball
NaN,"Wer heute beim MediaMarkt-Deal zu spät dran war, könnte hier zuschlagen.   Produktbeschreibung Amazon.de:  ""Das Honor 10 besitzt ein rahmenloses FullHD+ 19:9 FullView-Display mit e",notebooksbilliger.de,339€,"Honor 10 (64 GB) in allen Farben € 339,- bei notebooksbilliger.de"
NaN,"Moin.  bei Mediamarkt erhaltet ihr den LG UJ675V 70UJ675V 70"" 4K-Smart TV für 999€  Preisvergleich: ~1278€      
							Typ: (LCD) Fernseher mit 178 cm (70 Zoll) Bildschirmdiagonal",Media Markt,999€,"LG UJ675V 70UJ675V 70"" 4K-Smart TV für 999€ [Mediamarkt]"
NaN,"Moin,  Aktuell gibt es im MediaMarkt Dortmund Oespel Need for Speed Payback für die PS4.  PVG:  27.99 €",NaN,10€,[Lokal MM Dortmund Oespel] Need for Speed Payback PS4
NaN,"Heute erhaltet ihr beim Mediamarkt folgendes Angebot...  ► Sony KD-65XE7005 Bravia 164 cm (65 Zoll) Fernseher (4K Ultra HD, High Dynamic Range, Triple Tuner, Smart-TV) [Ener…					W",Media Markt,799€,"[Mediamarkt] Sony KD-65XE7005 Bravia 164 cm (65 Zoll) Fernseher (4K Ultra HD, High Dynamic Range, Triple Tuner, Smart-TV) [Energieklasse A+] für 799,-€"
NaN,"Moin.  bei Mediamarkt erhaltet ihr den Acer K272HLEbid 27 Zoll Full-HD Monitor (4 ms Reaktionszeit, 60 Hz) für 129€   Preisvergleich: ~179€      
							27 Zoll full HD1920 x 1080 ",Media Markt,129€,"Acer K272HLEbid 27 Zoll Full-HD Monitor (4 ms Reaktionszeit, 60 Hz) für 129€ [Mediamarkt]"
NaN,"Ich versuche es jetzt auch mal. Habe die Mediamarkt Aktion verpasst und bereut, jetzt gibt es das von Saturn (nur mit Versandkosten). Seltsam ist nur, dass im Titel Neu & OVP s…			",eBay,"184,98€",Marshall Stanmore - nur noch wenige verfügbar [ebay Saturn]
NaN,"Hallo zusammen,  gerade in der Mittagspause das o.g. Game für 15€ im MediaMarkt Dortmund-Oespel entdeckt.   Aktueller PVG lt. Idealo wäre 29,50€ in DE, über Amazon ES für 24,50€.  ",Media Markt,15€,(Lokal Dortmund-Oespel MediaMarkt) Call of Duty - WWII (PS4)
NaN,"Hier mal ein neuer Deal aus dem Mediamarkt in Osnabrück-Belm. Dort erhaltet ihr folgendes Angebot...  ►Nintendo New 2DS XL schwarz-türkis oder weiß-orange für je 99,-€ɜ…					Weiter",Media Markt,99€,"[Regional Mediamarkt Osnabrück-Belm] Nintendo New 2DS XL schwarz-türkis oder weiß-orange für je 99,-€"
NaN,"Beim Mediamarkt Baden-Baden gibt es ab heute bis zum 11.08. den Nintendo 2DS in schwarz-blau inkl. Mario Kart 7 (vorinstalliert) für 69,00 €.  Vielleicht ja für jemanden in der Näh",NaN,69€,"[Lokal Mediamarkt Baden-Baden] Nintendo 2DS schwarz-blau inkl. Mario Kart 7 (vorinstalliert) für 69,00 €"
NaN,"Hallo, aktuell gibt es bei Mediamarkt diesen Tracker für 10 € entweder in  schwarz  oder in  weiss  versandkostenfrei für 10 €   Schicker Activity Tracker mit einer Batterielauftze",Media Markt,10€,"TCL Moveband MB12, Fitness Tracker, Chrome/Weiß oder schwarz"
NaN,"Es gibt ab sofort das Nokia 5 für 105€ im Angebot bei Saturn in verschiedenen Farben. Nächster Preis ist 115€ bei Mediamarkt, also quasi beim gleichen Händler....plus 1,99€ Versand",Saturn,105€,Abgelaufen bitte löschen
NaN,###### EDIT2 ############  Amazon ist beim Preis mitgegangen:  ECOVACS Deebot Slim 2 für 129€ @Amazon   ###### EDIT ##############  Ich habe gerade  DIESEN DEAL  entdeckt. Wer bis ,Media Markt,129€,"Amazon, MM oder MM@Ebay: ECOVACS DEEBOT SLIM2 Staubsaugerroboter für 129€ VSK frei (Bei MM mit Masterpass für 109€)"
NaN,"Wer bei den letzten Deals für 39€ zu spät kam, so wie ich, kann jetzt bei eBay Mediamarkt für den gleichen Preis zugreifen. Versand ist gratis, Click&Collect möglich.  Oder auc…			",eBay,39€,[eBay - Mediamarkt] Skyrim Nintendo Switch
NaN,Bei Amazon oder alternativ bei   Mediamarkt  mediamarkt.de/?referrer=appmetrica_tracking_id=458078906080110931&ym_tracking_id=4670976062164177822    gibt es den Ecovacs Robotic…			,Amazon,129€,Ecovacs Robotics Deebot Slim2 Ultra
NaN,"Moin.  bei Mediamarkt erhaltet ihr die Sony FDR-X1000VR Remote Edition  Action-Kamera für 199€   Preisvergleich: ~238,90€",Media Markt,199€,Sony FDR-X1000VR Remote Edition Action-Kamera für 199€ [Mediamarkt]
NaN,"Im Mediamarkt in der Wühlabteilung bei den Tastaturen, hab es mir noch nicht selber geholt. Ist mit Android (muss nicht TV sein) und Windows 8/10 kompatibel.  Noch ca. 7-8Stck. dor",Media Markt,10€,[Lokal Berlin] MediaMarkt Charlottenburg Kant-Center ASUS Gamepad TV500BG Android + W10
NaN,"In  Düsseldorf  gibt es aktuell bei  Mediamarkt  auf der Metrostraße (müsste auch in Bilk gültig sein) eine Werbeseite mit Nespresso Essenza Mini Maschinen, jeweils zu 59€ inklusiv",NaN,59€,Nespresso Essenza Mini (inkl. 60€ Kapselguthaben) (lokal - Düsseldorf) verschiedene Farben
NaN,"Moin.  bei Mediamarkt erhaltet ihr die Jabra Elite 65t True-Wireless-Kopfhörer für 149€  Preisvergleich: ~160,98€  Jabra Elite 65t ist ein True-Wireless-Kopfhörer mit hervorragende",Media Markt,149€,Jabra Elite 65t True-Wireless-Kopfhörer für 149€ [Mediamarkt]
NaN,"Moin.  bei Mediamarkt erhaltet ihr das 60 heilige WMF Sydney Besteckset  (12.2200.9991) für 99€  (Preis wird ab 20 Uhr angezeigt, oder jetzt schon im Warenkorb)   Preisvergleich: ~",Media Markt,99€,WMF Sydney Besteckset (60-teilig) 12.2200.9991 für 99€ [Mediamarkt]
NaN,"Bei  MediaMarkt  im Online-Shop startet nun die Sommernachtsschnäppchen-Aktion, die immer von 20 bis 06 Uhr stattfindet (10 Stunden lang also). Hier eine kleine Übersicht.      Sam",Media Markt,NaN,"MediaMarkt - Sommernachtsschnäppchen: zB. SAMSUNG 960 EVO NVMe M.2, 1 TB SSD, intern für 269€"
NaN,"Hallo, diesen Fitnesstracker gibt es aktuell bei Mediamarkt versandkostenfrei für 15 €  Produkttyp:Activity Tracker Kompatible Betriebssysteme:Android, iOS Bluetooth:ja Bluetooth-V",Media Markt,15€,"HUAWEI Sports Band A1 mit Lederarmband, Activity Tracker, 235 mm, Schwarz"
NaN,"Ich war eben im Media Markt Neunkirchen (PLZ 66583). Dort gibt es derzeit folgende PS4 Spiele zum guten Kurs: - Gran Turismo Sport 10,- (PVG 18€) - Matterfall 10,- (PVG 10€ ) - hac",Media Markt,10€,Lokal MediaMarkt Neunkirchen Sammeldeal: PS4 Spiele ab 10€
NaN,"Wenn man über die Tchibo seite auf den Philips Onlineshop geht, bekommt man die Philips Zahnbürste Sonicare HealthyWhite+ inkl. Zungenreiniger und –spray: für 99 Euro. das ist das ",Tchibo,99€,"@Tchibo Philips Sonicare HealthyWhite+, inkl. Zungenreiniger und –spray: 99,99 €"
NaN,"Nach einem langen Tag in Delmenhorst, bin ich auch mal wieder da. Der Mediamarkt in Buxtehude hat für euch folgenden Film im Angebot...  ►Coco - (Blu-ray) für 7,-€◄  …					Weiterle",NaN,7€,"[Regional Mediamarkt Buxtehude] Coco - (Blu-ray) für 7,-€"
NaN,Bei MediaMarkt Online gibt es derzeit über den Ebay Shop den LG 65 Zoll UK6100PLB für 699 € inkl. Versand.   PVG: 734 € (Rakuten)  https://geizhals.de/lg-electronics-65uk6100-a1793,eBay,699€,"[Mediamarkt Ebay] LG 65UK6100PLB UHD TV (Flat, 65 Zoll, UHD 4K, SMART TV, webOS 3.5)"
